All_Poverty,M_Poverty,F_Poverty,FIPS,Med_Income,Med_Income_White,Med_Income_Black,Med_Income_Nat_Am,Med_Income_Asian,Hispanic,M_With,M_Without,F_With,F_Without,All_With,All_Without,fips_x,Incidence_Rate,Avg_Ann_Incidence,fips_y,Mortality_Rate,Avg_Ann_Deaths
553,334,219,2013,61518.0,72639.0,31250.0,54750.0,62679.0,51250.0,876,1317,566,540,1442,1857,2013,,2.0,2013,,
499,273,226,2016,84306.0,97321.0,93750.0,48750.0,81250.0,77500.0,2470,769,1707,564,4177,1333,2016,,2.0,2016,,
23914,10698,13216,2020,78326.0,87235.0,50535.0,53935.0,63757.0,53926.0,120747,23245,122426,21393,243173,44638,2020,61.5,131.0,2020,47.3,96.0
4364,2199,2165,2050,51012.0,92647.0,73661.0,41594.0,110625.0,160114.0,6396,2708,6627,1774,13023,4482,2050,62.7,6.0,2050,58.3,5.0
69,33,36,2060,79750.0,88000.0,,63333.0,,25625.0,419,124,349,67,768,191,2060,,2.0,2060,,
254,139,115,2068,81544.0,81029.0,,47500.0,,,822,253,674,250,1496,503,2068,,2.0,2068,,
894,446,448,2070,54173.0,81161.0,,42212.0,,86458.0,1678,900,1837,546,3515,1446,2070,,2.0,2070,,
7752,3523,4229,2090,71068.0,74242.0,56353.0,48333.0,56339.0,55284.0,40605,6957,40210,5322,80815,12279,2090,58.1,36.0,2090,54.0,31.0
135,74,61,2100,58750.0,67888.0,,45714.0,,,960,422,944,228,1904,650,2100,,2.0,2100,,
2110,1145,965,2110,85746.0,90553.0,106964.0,57821.0,80893.0,76083.0,13739,2433,13582,2213,27321,4646,2110,35.1,9.0,2110,34.4,8.0
5558,2596,2962,2122,63684.0,64663.0,122660.0,46458.0,58125.0,64148.0,22391,6435,21668,5433,44059,11868,2122,64.9,39.0,2122,50.1,28.0
1640,792,848,2130,64222.0,73313.0,,45536.0,45859.0,83250.0,5339,1428,5527,1082,10866,2510,2130,88.3,12.0,2130,70.8,9.0
1552,962,590,2150,70887.0,82857.0,26827.0,48179.0,56585.0,87000.0,4941,1920,4943,1479,9884,3399,2150,74.7,7.0,2150,76.2,6.0
247,119,128,2164,50781.0,72500.0,,38482.0,,,445,286,513,230,958,516,2164,,2.0,2164,,
9454,4346,5108,2170,72983.0,74141.0,55577.0,56724.0,53789.0,77367.0,39282,9314,37751,8084,77033,17398,2170,69.7,51.0,2170,53.9,37.0
2592,1399,1193,2180,48868.0,85455.0,,37277.0,78056.0,86607.0,3506,1605,3430,1114,6936,2719,2180,103.6,6.0,2180,96.1,6.0
976,532,444,2185,72576.0,86250.0,107500.0,59554.0,126964.0,88563.0,4847,1248,2579,910,7426,2158,2185,153.4,6.0,2185,124.9,5.0
1824,951,873,2188,63648.0,99444.0,,52227.0,69375.0,,2690,1455,2542,1021,5232,2476,2188,67.6,3.0,2188,,
798,424,374,2220,70376.0,81029.0,143125.0,40625.0,75000.0,58333.0,3635,841,3591,692,7226,1533,2220,44.0,4.0,2220,39.6,3.0
1011,507,504,2240,62670.0,71349.0,51563.0,20774.0,33750.0,78750.0,2889,853,2454,666,5343,1519,2240,76.8,5.0,2240,,
1029,598,431,2261,78810.0,82090.0,,45000.0,105417.0,,3670,1292,3566,884,7236,2176,2261,66.1,6.0,2261,60.8,4.0
35,25,10,2282,72500.0,76250.0,,45625.0,127188.0,,289,78,217,59,506,137,2282,,2.0,2282,,
1252,666,586,2290,38491.0,63000.0,,29750.0,76250.0,,1795,1225,1692,907,3487,2132,2290,58.3,3.0,2290,,
7057,2983,4074,1001,51281.0,56854.0,32073.0,,2499.0,61296.0,23500,2781,25417,2727,48917,5508,1001,74.9,43.0,1001,59.3,34.0
25798,12018,13780,1003,50254.0,52594.0,26967.0,92670.0,36250.0,42468.0,79768,13644,88015,11343,167783,24987,1003,66.9,170.0,1003,48.0,121.0
6421,2856,3565,1005,32964.0,45039.0,21171.0,,,27132.0,9578,2163,10750,1569,20328,3732,1005,74.6,25.0,1005,61.3,20.0
3488,1495,1993,1007,38678.0,42263.0,27793.0,,,43750.0,9342,1012,9421,995,18763,2007,1007,86.4,23.0,1007,67.8,17.0
9552,4593,4959,1009,45813.0,46601.0,31507.0,61310.0,,35271.0,24629,3642,25922,3017,50551,6659,1009,69.7,51.0,1009,59.9,43.0
2486,981,1505,1011,31938.0,52930.0,24595.0,,,,4088,1066,4191,762,8279,1828,1011,65.8,9.0,1011,29.7,4.0
5094,2073,3021,1013,32229.0,42922.0,23453.0,,90833.0,,8129,1223,9482,1236,17611,2459,1013,58.3,17.0,1013,52.6,15.0
23325,9500,13825,1015,41703.0,46399.0,26071.0,48409.0,,30575.0,47992,7440,53518,6245,101510,13685,1015,84.2,120.0,1015,59.9,86.0
7273,3091,4182,1017,34177.0,42336.0,25442.0,,62417.0,,13928,2198,15131,2476,29059,4674,1017,75.4,34.0,1017,63.1,29.0
4918,2421,2497,1019,36296.0,36679.0,32973.0,,11313.0,,11401,1404,11730,1137,23131,2541,1019,82.4,32.0,1019,54.0,21.0
8288,3871,4417,1021,41627.0,43395.0,35189.0,83564.0,22981.0,28939.0,18164,3252,18371,3712,36535,6964,1021,73.9,39.0,1021,66.0,34.0
3093,1206,1887,1023,33536.0,45321.0,21661.0,,,,5384,934,6098,850,11482,1784,1023,49.2,10.0,1023,43.0,9.0
6107,2495,3612,1025,32011.0,41390.0,19650.0,,,2499.0,9881,1825,11159,1934,21040,3759,1025,69.5,23.0,1025,43.9,15.0
2201,902,1299,1027,35327.0,37166.0,30343.0,12679.0,,24914.0,5518,1022,5839,886,11357,1908,1027,83.3,16.0,1027,69.1,13.0
2508,1069,1439,1029,38056.0,38886.0,30335.0,,,17431.0,6234,1017,6582,1013,12816,2030,1029,74.9,14.0,1029,59.7,12.0
8581,3867,4714,1031,46729.0,51998.0,26605.0,46607.0,39063.0,32372.0,20688,2891,22567,2783,43255,5674,1031,71.5,43.0,1031,55.1,33.0
9406,4124,5282,1033,40576.0,44296.0,28778.0,,,30994.0,23057,3007,24955,3003,48012,6010,1033,75.9,57.0,1033,61.2,46.0
4320,2011,2309,1035,24900.0,32746.0,17366.0,,,13365.0,4925,1217,5227,1449,10152,2666,1035,73.5,14.0,1035,60.2,12.0
2073,961,1112,1037,31212.0,42727.0,23473.0,,,,4474,866,4605,805,9079,1671,1037,82.6,14.0,1037,68.9,11.0
7515,3263,4252,1039,36444.0,39636.0,21875.0,26389.0,33177.0,51131.0,15536,2520,16877,2437,32413,4957,1039,83.0,44.0,1039,71.9,39.0
2288,1068,1220,1041,36022.0,42771.0,21614.0,55227.0,,72868.0,5847,939,6229,748,12076,1687,1041,61.5,11.0,1041,47.3,9.0
14814,6760,8054,1043,38971.0,39378.0,33333.0,,,21888.0,33641,6024,34557,5978,68198,12002,1043,69.6,73.0,1043,61.4,63.0
9306,4092,5214,1045,45028.0,49655.0,26807.0,43088.0,73636.0,25115.0,19228,3179,21602,3161,40830,6340,1045,76.7,44.0,1045,63.6,37.0
14580,5889,8691,1047,27306.0,51431.0,20462.0,,49583.0,,16398,2891,19599,2951,35997,5842,1047,76.2,39.0,1047,65.3,33.0
13133,5783,7350,1049,38192.0,38909.0,27629.0,,65114.0,27912.0,28735,6363,29767,5509,58502,11872,1049,60.8,51.0,1049,56.3,46.0
10334,4413,5921,1051,53555.0,58246.0,34370.0,48563.0,49342.0,29038.0,31679,3669,36728,3425,68407,7094,1051,78.1,66.0,1051,66.1,55.0
8609,3695,4914,1053,32330.0,39557.0,21925.0,32321.0,,,14055,3261,14958,3333,29013,6594,1053,75.5,36.0,1053,67.0,32.0
20078,8854,11224,1055,39220.0,41841.0,24950.0,35387.0,120714.0,35795.0,42271,7457,46984,6023,89255,13480,1055,81.9,110.0,1055,67.7,90.0
3055,1449,1606,1057,34680.0,36892.0,17270.0,,,30625.0,7557,832,7568,751,15125,1583,1057,77.3,19.0,1057,58.3,14.0
7020,2598,4422,1059,35372.0,36562.0,27340.0,27529.0,,34308.0,12966,2200,13441,2767,26407,4967,1059,72.4,28.0,1059,65.8,25.0
6149,2689,3460,1061,36024.0,37725.0,24296.0,34063.0,,35023.0,10913,2091,11495,1977,22408,4068,1061,90.3,35.0,1061,71.2,27.0
